country,region,subregion,population,population growth,area,GDP(PPP) per capita,Gini,Ethnic Fractionalization,Linguistic Fractionalization,Religious Fractionalization,cannabis,cigarettes,alcohol,MF ratio (birth),MF ratio (lt15),MF ratio 15-64,M/F >65,MF in population
Afghanistan,Asia,South-Central Asia,30551674,0.02393,647500,1055,28.6,0.7693,0.6141,0.2717,4.3,61,0.02,1.05,1.05,1.05,0,1.04
Albania,Europe,Southern Europe,3173271,0.00295,28748,7997,34.5,0.2204,0.0399,0.4719,1.8,1116,6.68,NA,NA,NA,NA,NA
Algeria,Africa,Northern Africa,39208194,0.0184,2381740,7268,35.3,0.3394,0.4427,0.0091,5.7,775,0.96,NA,NA,NA,NA,NA
American Samoa,Oceania,Polynesia,55165,-0.00035,NA,NA,NA,0,0.1733,0.6395,7,NA,NA,NA,NA,NA,NA,NA
Andorra,Europe,Southern Europe,79218,0.00766,468,NA,NA,0.7139,0.6848,0.2326,14.6,784,15.48,NA,NA,NA,NA,NA
Angola,Africa,Middle Africa,21471618,0.03094,1246700,6092,58.6,0.7867,0.787,0.6276,2.1,414,5.4,1.05,1.02,1.03,0.79,1.02
Anguilla,Latin America and Caribbean,Caribbean,14300,0.01193,102,NA,NA,NA,NA,NA,NA,NA,NA,1.031,1.05,0.9,0.93,0.94
Antigua and Barbuda,Latin America and Caribbean,Caribbean,89985,0.01025,443,17833,NA,0.1643,0.1063,0.684,10.6,375,7.22,1.05,1.03,0.87,0.76,0.9
Argentina,Latin America and Caribbean,South America,41446246,0.00863,2766890,17917,36.4,0.255,0.0618,0.2236,7.2,1042,10,1.052,1.05,1,0.7,0.97
Armenia,Asia,Western Asia,2976566,0.00175,29800,5924,30.9,0.1272,0.1291,0.4576,3.5,1620,11.35,1.124,1.15,0.88,0.62,0.89
Aruba,Latin America and Caribbean,Caribbean,102911,0.00446,193,NA,NA,0,0.3889,0.4107,NA,NA,NA,1.021,1.01,0.92,0.66,0.9
Australia,Oceania,Australia/New Zealand,23342553,0.01312,7686850,41954,30.4,0.0929,0.3349,0.8211,10.6,1034,10.02,1.055,1.05,1.03,0.84,1
Austria,Europe,Western Europe,8495145,0.00368,83870,41908,26,0.1068,0.1522,0.4146,3.5,1650,13.24,1.051,1.05,1.01,0.71,0.95
Azerbaijan,Asia,Western Asia,9413420,0.01108,86600,10365,33.7,0.2047,0.2054,0.4899,3.5,1877,10.6,1.13,1.16,0.97,0.58,0.97
Bahamas,Latin America and Caribbean,Caribbean,377374,0.01447,NA,31324,NA,0.4228,0.1855,0.6815,5.5,288,8.76,1.03,1.03,0.97,0.62,0.96
Bahrain,Asia,Western Asia,1332171,0.01659,665,28691,NA,0.5021,0.4344,0.5528,0.4,661,3.66,1.028,1.02,1.33,1.13,1.24
Bangladesh,Asia,South-Central Asia,156594962,0.01193,144000,1963,32.65,0.0454,0.0925,0.209,3.3,154,0.2,1.04,1.01,0.89,0.93,0.93
Barbados,Latin America and Caribbean,Caribbean,284644,0.00499,431,25043,NA,0.1423,0.0926,0.6934,8.3,344,6.91,1.013,1,0.97,0.64,0.94
Belarus,Europe,Eastern Europe,9356678,-0.00494,207600,15479,27.2,0.3222,0.4666,0.6116,1.1,2266,15.13,1.062,1.06,0.94,0.47,0.87
Belgium,Europe,Western Europe,11104476,0.00438,30528,37459,30.5,0.5554,0.5409,0.2127,5.1,1455,10.77,1.045,1.04,1.02,0.71,0.96
Belize,Latin America and Caribbean,Central America,331900,0.0238,22966,8659,53.1,0.7015,0.6303,0.5813,8.5,367,6.07,1.05,1.04,1.02,0.91,1.03
Benin,Africa,Western Africa,10323474,0.02692,112620,1556,37.55,0.7872,0.7905,0.5544,NA,71,2.15,1.05,1.04,0.99,0.69,1
Bermuda,Northern America,South America,65341,0.00192,53,NA,NA,0,0,0.7112,NA,NA,NA,1.015,1,0.97,0.71,0.94
Bhutan,Asia,South-Central Asia,753947,0.01595,47000,6564,38.1,0.605,0.6056,0.3787,NA,120,0.55,1.05,1.04,1.13,1.12,1.1
Bolivia,Latin America and Caribbean,South America,10671200,0.0164,NA,5041,54.65,0.7396,0.224,0.2085,4.3,179,5.12,1.05,1.04,0.96,0.79,0.98
Bosnia and Herzegovina,Europe,Southern Europe,3829307,-0.00137,51129,8127,36.2,0.63,0.6751,0.6851,2.8,2278,9.63,1.074,1.07,1.02,0.69,0.97
Botswana,Africa,Southern Africa,2021144,0.00865,600370,15706,62,0.4102,0.411,0.5986,NA,336,7.96,1.03,1.04,1.02,0.68,1.01
Brazil,Latin America and Caribbean,South America,200361925,0.00847,8511965,11747,52.75,0.5408,0.0468,0.6054,2.6,504,9.16,1.05,1.04,0.98,0.73,0.98
